글번호,등록일자,등록시간,등록자이름,이메일,비밀번호,글내용
1,2021-05-09,10:10:06,갈한수,KOR001@NAVER.COM,1234,국군의 조직과 편성은 법률로 정한다. 국가는 농수산물의 수급균형과 유통구조의 개선에 노력하여 가격안정을 도모함으로써 농·어민의 이익을 보호한다.
2,2021-05-13,10:10:57,강이찬,KOR002@NAVER.COM,1234,언론·출판에 대한 허가나 검열과 집회·결사에 대한 허가는 인정되지 아니한다.
3,2021-05-26,10:10:52,개원훈,KOR003@NAVER.COM,1234,계엄을 선포한 때에는 대통령은 지체없이 국회에 통고하여야 한다.
4,2021-05-29,10:10:15,경시현,KOR004@NAVER.COM,1234,"학교교육 및 평생교육을 포함한 교육제도와 그 운영, 교육재정 및 교원의 지위에 관한 기본적인 사항은 법률로 정한다."
5,2021-05-04,10:10:49,공동영,KOR005@NAVER.COM,1234,"국민의 모든 자유와 권리는 국가안전보장·질서유지 또는 공공복리를 위하여 필요한 경우에 한하여 법률로써 제한할 수 있으며, 제한하는 경우에도 자유와 권리의 본질적인 내용을 침해할 수 없다."
6,2021-05-28,10:10:21,기대연,KOR006@NAVER.COM,1234,군인은 현역을 면한 후가 아니면 국무위원으로 임명될 수 없다.
7,2021-05-09,10:10:13,기원호,KOR007@NAVER.COM,1234,국회의원이 회기전에 체포 또는 구금된 때에는 현행범인이 아닌 한 국회의 요구가 있으면 회기중 석방된다.
8,2021-05-12,10:10:04,기은성,KOR008@NAVER.COM,1234,지방의회의 조직·권한·의원선거와 지방자치단체의 장의 선임방법 기타 지방자치단체의 조직과 운영에 관한 사항은 법률로 정한다.
9,2021-05-19,10:10:51,나한율,KOR009@NAVER.COM,1234,국가는 국민 모두의 생산 및 생활의 기반이 되는 국토의 효율적이고 균형있는 이용·개발과 보전을 위하여 법률이 정하는 바에 의하여 그에 관한 필요한 제한과 의무를 과할 수 있다.
10,2021-05-04,10:10:29,남동예,KOR010@NAVER.COM,1234,"국회의 정기회는 법률이 정하는 바에 의하여 매년 1회 집회되며, 국회의 임시회는 대통령 또는 국회재적의원 4분의 1 이상의 요구에 의하여 집회된다."
11,2021-05-23,10:10:10,낭시우,KOR011@NAVER.COM,1234,국가는 모성의 보호를 위하여 노력하여야 한다. 대법관은 대법원장의 제청으로 국회의 동의를 얻어 대통령이 임명한다.
12,2021-05-28,10:10:10,내세원,KOR012@NAVER.COM,1234,"헌법개정안이 제2항의 찬성을 얻은 때에는 헌법개정은 확정되며, 대통령은 즉시 이를 공포하여야 한다."
13,2021-05-08,10:10:35,뇌성수,KOR013@NAVER.COM,1234,"대통령의 국법상 행위는 문서로써 하며, 이 문서에는 국무총리와 관계 국무위원이 부서한다. 군사에 관한 것도 또한 같다."
14,2021-05-23,10:10:49,단수혁,KOR014@NAVER.COM,1234,국회의원의 선거구와 비례대표제 기타 선거에 관한 사항은 법률로 정한다.
15,2021-05-16,10:10:49,담성민,KOR015@NAVER.COM,1234,"대한민국의 영토는 한반도와 그 부속도서로 한다. 재판의 전심절차로서 행정심판을 할 수 있다. 행정심판의 절차는 법률로 정하되, 사법절차가 준용되어야 한다."
16,2021-05-14,10:10:30,담원준,KOR016@NAVER.COM,1234,대통령의 임기연장 또는 중임변경을 위한 헌법개정은 그 헌법개정 제안 당시의 대통령에 대하여는 효력이 없다.
17,2021-05-25,10:10:08,담장호,KOR017@NAVER.COM,1234,행정각부의 설치·조직과 직무범위는 법률로 정한다. 국회의원은 법률이 정하는 직을 겸할 수 없다.
18,2021-05-14,10:10:57,독고예준,KOR018@NAVER.COM,1234,"국회의원의 수는 법률로 정하되, 200인 이상으로 한다. 대법원과 각급법원의 조직은 법률로 정한다."
19,2021-05-07,10:10:37,돈송혁,KOR019@NAVER.COM,1234,모든 국민은 헌법과 법률이 정한 법관에 의하여 법률에 의한 재판을 받을 권리를 가진다.
20,2021-05-06,10:10:52,돈재현,KOR020@NAVER.COM,1234,모든 국민의 재산권은 보장된다. 그 내용과 한계는 법률로 정한다.
21,2021-05-31,10:10:13,두동환,KOR021@NAVER.COM,1234,공개하지 아니한 회의내용의 공표에 관하여는 법률이 정하는 바에 의한다.
22,2021-05-13,10:10:42,두채훈,KOR022@NAVER.COM,1234,"모든 국민은 학문과 예술의 자유를 가진다. 국가의 세입·세출의 결산, 국가 및 법률이 정한 단체의 회계검사와 행정기관 및 공무원의 직무에 관한 감찰을 하기 위하여 대통령 소속하에 감사원을 둔다."
23,2021-05-23,10:10:57,명윤일,KOR023@NAVER.COM,1234,"모든 국민은 행위시의 법률에 의하여 범죄를 구성하지 아니하는 행위로 소추되지 아니하며, 동일한 범죄에 대하여 거듭 처벌받지 아니한다."
24,2021-05-13,10:10:13,모재원,KOR024@NAVER.COM,1234,국가는 재해를 예방하고 그 위험으로부터 국민을 보호하기 위하여 노력하여야 한다.
25,2021-05-18,10:10:03,문은진,KOR025@NAVER.COM,1234,대통령은 조국의 평화적 통일을 위한 성실한 의무를 진다. 헌법개정안은 국회가 의결한 후 30일 이내에 국민투표에 붙여 국회의원선거권자 과반수의 투표와 투표자 과반수의 찬성을 얻어야 한다.
26,2021-05-10,10:10:59,박수혁,KOR026@NAVER.COM,1234,국가는 과학기술의 혁신과 정보 및 인력의 개발을 통하여 국민경제의 발전에 노력하여야 한다.
27,2021-05-07,10:10:40,방윤후,KOR027@NAVER.COM,1234,국회는 국무총리 또는 국무위원의 해임을 대통령에게 건의할 수 있다.
28,2021-05-11,10:10:31,방채호,KOR028@NAVER.COM,1234,대통령은 제4항과 제5항의 규정에 의하여 확정된 법률을 지체없이 공포하여야 한다. 제5항에 의하여 법률이 확정된 후 또는 제4항에 의한 확정법률이 정부에 이송된 후 5일 이내에 대통령이 공포하지 아니할 때에는 국회의장이 이를 공포한다.
29,2021-05-04,10:10:05,배세준,KOR029@NAVER.COM,1234,국회가 재적의원 과반수의 찬성으로 계엄의 해제를 요구한 때에는 대통령은 이를 해제하여야 한다.
30,2021-05-20,10:10:30,배채호,KOR030@NAVER.COM,1234,모든 국민은 소급입법에 의하여 참정권의 제한을 받거나 재산권을 박탈당하지 아니한다.
,,,,,,
